Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event
2036,16/6/21,HAVU,Entropiq,Finland,Russia,Overpass,12,16,Funspark ULTI 2021 Europe Playoffs 1
2037,16/6/21,Entropiq,HAVU,Russia,Finland,Dust2,20,22,Funspark ULTI 2021 Europe Playoffs 1
2038,16/6/21,Lyngby Vikings,HYENAS,Denmark,Denmark,Overpass,16,1,Spring Sweet Spring 3 Regionals
2039,16/6/21,HYENAS,Lyngby Vikings,Denmark,Denmark,Inferno,12,16,Spring Sweet Spring 3 Regionals
2040,16/6/21,Lyngby Vikings,HYENAS,Denmark,Denmark,Nuke,9,16,Spring Sweet Spring 3 Regionals
2041,15/6/21,Complexity,NIP,Europe,Sweden,Ancient,16,9,BLAST Premier Spring Final 2021
2042,15/6/21,NIP,Complexity,Sweden,Europe,Mirage,10,16,BLAST Premier Spring Final 2021
2043,15/6/21,Izako Boars,Sangal,Poland,Turkey,Vertigo,6,16,ESEA Premier Season 37 Europe
2044,15/6/21,Izako Boars,Sangal,Poland,Turkey,Inferno,12,16,ESEA Premier Season 37 Europe
2045,15/6/21,LDLC,SAW,France,Portugal,Ancient,16,8,ESEA Premier Season 37 Europe
2046,15/6/21,SAW,LDLC,Portugal,France,Inferno,16,7,ESEA Premier Season 37 Europe
2047,15/6/21,Movistar Riders,Endpoint,Europe,United Kingdom,Inferno,14,16,ESEA Premier Season 37 Europe
2048,15/6/21,Nemiga,forZe,Belarus,Russia,Mirage,13,16,ESEA Premier Season 37 Europe
2049,15/6/21,AGO,Sprout,Poland,Germany,Vertigo,16,9,ESEA Premier Season 37 Europe
2050,15/6/21,forZe,Nemiga,Russia,Belarus,Overpass,16,13,ESEA Premier Season 37 Europe
2051,15/6/21,LDLC,SAW,France,Portugal,Vertigo,16,9,ESEA Premier Season 37 Europe
2052,15/6/21,Sangal,Izako Boars,Turkey,Poland,Mirage,10,16,ESEA Premier Season 37 Europe
2053,15/6/21,Sprout,AGO,Germany,Poland,Ancient,8,16,ESEA Premier Season 37 Europe
2054,15/6/21,Endpoint,Movistar Riders,United Kingdom,Europe,Ancient,16,1,ESEA Premier Season 37 Europe
2055,15/6/21,1WIN,Lyngby Vikings,Russia,Denmark,Vertigo,16,10,Spring Sweet Spring 3 Regionals
2056,15/6/21,1WIN,Lyngby Vikings,Russia,Denmark,Overpass,14,16,Spring Sweet Spring 3 Regionals
2057,15/6/21,Lyngby Vikings,1WIN,Denmark,Russia,Nuke,9,16,Spring Sweet Spring 3 Regionals
2058,15/6/21,Copenhagen Flames,Anonymo,Denmark,Poland,Mirage,16,12,Spring Sweet Spring 3 Regionals
2059,15/6/21,Anonymo,Copenhagen Flames,Poland,Denmark,Ancient,6,16,Spring Sweet Spring 3 Regionals
2060,15/6/21,Evil Geniuses,Gambit,North America,Russia,Dust2,11,16,BLAST Premier Spring Final 2021
2061,15/6/21,Gambit,Evil Geniuses,Russia,North America,Inferno,22,20,BLAST Premier Spring Final 2021
2062,15/6/21,K23,Lyngby Vikings,Kazakhstan,Denmark,Ancient,16,12,Funspark ULTI 2021 Europe Playoffs 1
2063,15/6/21,Lyngby Vikings,K23,Denmark,Kazakhstan,Overpass,7,16,Funspark ULTI 2021 Europe Playoffs 1
2064,15/6/21,Sinners,Dignitas,Czech Republic,Sweden,Nuke,5,16,Funspark ULTI 2021 Europe Playoffs 1
2065,15/6/21,Dignitas,Sinners,Sweden,Czech Republic,Vertigo,16,12,Funspark ULTI 2021 Europe Playoffs 1
2066,14/6/21,Anonymo,GamerLegion,Poland,Sweden,Vertigo,10,16,ESEA Premier Season 37 Europe
2067,14/6/21,GamerLegion,Anonymo,Sweden,Poland,Nuke,17,19,ESEA Premier Season 37 Europe
