Index,Date,Team1,Team2,Map,winner,Team1_region,Team2_region,Event_priority
230,2021-10-19,1WIN,Galaxy Racer,Overpass,1,CIS,EU,3
231,2021-10-19,Galaxy Racer,1WIN,Vertigo,2,EU,CIS,3
232,2021-10-18,K23,MOUZ,Nuke,2,CIS,EU,2
233,2021-10-18,MOUZ,K23,Inferno,1,EU,CIS,2
234,2021-10-18,9z,Spirit,Nuke,2,SA,CIS,2
235,2021-10-18,Spirit,9z,Mirage,1,CIS,SA,2
236,2021-10-18,FunPlus Phoenix,fnatic,Overpass,2,EU,EU,2
237,2021-10-18,fnatic,FunPlus Phoenix,Vertigo,1,EU,EU,2
238,2021-10-18,Complexity,ENCE,Mirage,2,EU,EU,2
239,2021-10-18,ENCE,Complexity,Overpass,1,EU,EU,2
240,2021-10-18,AVE,Finest,Inferno,1,CIS,EU,3
241,2021-10-18,Finest,AVE,Ancient,2,EU,CIS,3
242,2021-10-18,AVE,Finest,Overpass,2,CIS,EU,3
243,2021-10-18,Spirit,K23,Mirage,2,CIS,CIS,2
244,2021-10-18,K23,Spirit,Nuke,2,CIS,CIS,2
245,2021-10-18,Spirit,K23,Inferno,2,CIS,CIS,2
246,2021-10-18,FunPlus Phoenix,ENCE,Overpass,1,EU,EU,2
247,2021-10-18,FunPlus Phoenix,ENCE,Ancient,1,EU,EU,2
248,2021-10-18,9z,MOUZ,Vertigo,2,SA,EU,2
249,2021-10-18,fnatic,Complexity,Nuke,1,EU,EU,2
250,2021-10-18,MOUZ,9z,Dust2,1,EU,SA,2
251,2021-10-18,Complexity,fnatic,Inferno,2,EU,EU,2
252,2021-10-18,ENCE,FunPlus Phoenix,Nuke,1,EU,EU,2
253,2021-10-18,Unique,MOUZ NXT,Mirage,2,CIS,EU,3
254,2021-10-18,MOUZ NXT,Unique,Ancient,2,EU,CIS,3
255,2021-10-18,Unique,MOUZ NXT,Inferno,2,CIS,EU,3
256,2021-10-18,Galaxy Racer,Lyngby Vikings,Vertigo,2,EU,EU,3
257,2021-10-18,Lyngby Vikings,Galaxy Racer,Inferno,1,EU,EU,3
258,2021-10-18,Party Astronauts,Extra Salt,Nuke,1,N_A,N_A,2
259,2021-10-18,Extra Salt,Party Astronauts,Ancient,2,N_A,N_A,2
260,2021-10-18,Party Astronauts,Extra Salt,Overpass,2,N_A,N_A,2
261,2021-10-18,Extra Salt,Party Astronauts,Inferno,2,N_A,N_A,2
262,2021-10-18,Bad News Bears,TeamOne,Mirage,1,N_A,SA,2
263,2021-10-18,TeamOne,Bad News Bears,Inferno,2,SA,N_A,2
264,2021-10-17,Sharks,INDE IRAE,Nuke,2,SA,CIS,3
265,2021-10-17,INDE IRAE,Sharks,Vertigo,2,CIS,SA,3
266,2021-10-17,Sharks,INDE IRAE,Ancient,2,SA,CIS,3
267,2021-10-17,AGO,Anonymo,Nuke,1,EU,EU,2
268,2021-10-17,Anonymo,AGO,Dust2,2,EU,EU,2
269,2021-10-17,MAD Lions,Liquid,Inferno,2,EU,N_A,1
270,2021-10-17,Liquid,MAD Lions,Nuke,1,N_A,EU,1
271,2021-10-17,OG,Heroic,Overpass,2,EU,EU,1
272,2021-10-17,Heroic,OG,Inferno,1,EU,EU,1
273,2021-10-16,Liquid,Virtus.pro,Overpass,1,N_A,CIS,1
274,2021-10-16,Virtus.pro,Liquid,Vertigo,1,CIS,N_A,1
275,2021-10-16,Liquid,Virtus.pro,Inferno,1,N_A,CIS,1
276,2021-10-16,Entropiq,9z,Overpass,2,CIS,SA,2
277,2021-10-16,9z,Entropiq,Ancient,2,SA,CIS,2
278,2021-10-16,9z,Entropiq,Mirage,1,SA,CIS,2
279,2021-10-16,Anonymo,BLINK,Vertigo,1,EU,EU,2
280,2021-10-16,Anonymo,BLINK,Mirage,1,EU,EU,2
281,2021-10-16,Copenhagen Flames,Endpoint,Vertigo,1,EU,EU,2
282,2021-10-16,Copenhagen Flames,Endpoint,Dust2,2,EU,EU,2
283,2021-10-16,Endpoint,Copenhagen Flames,Ancient,2,EU,EU,2
284,2021-10-16,MAD Lions,G2,Inferno,1,EU,EU,1
285,2021-10-16,MAD Lions,G2,Mirage,1,EU,EU,1
286,2021-10-16,G2,MAD Lions,Ancient,1,EU,EU,1
287,2021-10-15,9z,Finest,Dust2,1,SA,EU,2
288,2021-10-15,DBL PONEY,BLINK,Ancient,2,EU,EU,2
289,2021-10-15,DBL PONEY,BLINK,Vertigo,2,EU,EU,2
290,2021-10-15,Fiend,Copenhagen Flames,Nuke,1,EU,EU,3
291,2021-10-15,Fiend,Copenhagen Flames,Inferno,1,EU,EU,3
292,2021-10-15,Nemiga,Movistar Riders,Inferno,2,CIS,EU,2
293,2021-10-15,Movistar Riders,Nemiga,Mirage,1,EU,CIS,2
294,2021-10-15,1WIN,Endpoint,Mirage,1,CIS,EU,2
295,2021-10-15,Endpoint,1WIN,Vertigo,2,EU,CIS,2
296,2021-10-15,Complexity,OG,Dust2,2,EU,EU,1
297,2021-10-15,OG,Complexity,Mirage,1,EU,EU,1
298,2021-10-15,Copenhagen Flames,Gambit,Mirage,1,EU,CIS,3
299,2021-10-15,Gambit,Copenhagen Flames,Ancient,2,CIS,EU,3
300,2021-10-15,Dignitas,Heroic,Overpass,2,EU,EU,1
301,2021-10-15,Heroic,Dignitas,Nuke,1,EU,EU,1
302,2021-10-15,1WIN,FunPlus Phoenix,Nuke,2,CIS,EU,3
