Index,Date,Map,Result
819,04/06/17,Mirage,W
820,04/06/17,Overpass,W
821,04/06/17,Mirage,W
822,04/06/17,Train,W
823,04/06/17,Mirage,W
824,03/06/17,Overpass,L
825,03/06/17,Cache,L
826,03/06/17,Mirage,W
827,02/06/17,Inferno,W
828,02/06/17,Cache,W
829,28/05/17,Train,W
830,28/05/17,Mirage,W
831,28/05/17,Overpass,W
832,28/05/17,Train,L
833,28/05/17,Mirage,W
834,27/05/17,Inferno,W
835,27/05/17,Mirage,W
836,18/05/17,Train,W
837,18/05/17,Mirage,W
838,10/05/17,Train,W
839,10/05/17,Inferno,W
840,10/05/17,Train,W
841,10/05/17,Mirage,W
842,10/05/17,Mirage,W
843,10/05/17,Train,W
844,09/05/17,Cache,W
845,09/05/17,Inferno,W
846,09/05/17,Mirage,W
847,09/05/17,Train,W
848,09/05/17,Mirage,W
849,09/05/17,Cache,L
850,08/05/17,Cache,W
851,08/05/17,Cobblestone,W
852,06/05/17,Inferno,W
853,05/05/17,Cache,W
854,04/05/17,Mirage,W
855,04/05/17,Cobblestone,W
856,03/05/17,Mirage,W
857,03/05/17,Train,W
858,30/04/17,Mirage,W
859,30/04/17,Cobblestone,W
860,30/04/17,Cobblestone,W
861,30/04/17,Mirage,W
862,29/04/17,Inferno,W
863,28/04/17,Cache,W
864,28/04/17,Mirage,W
865,28/04/17,Inferno,L
866,27/04/17,Train,L
867,27/04/17,Cobblestone,L
868,26/04/17,Mirage,W
869,26/04/17,Cache,W
870,26/04/17,Mirage,W
871,25/04/17,Mirage,W
872,24/04/17,Mirage,W
873,22/04/17,Mirage,L
874,21/04/17,Mirage,L
875,21/04/17,Cobblestone,W
876,21/04/17,Mirage,W
877,21/04/17,Cobblestone,W
878,17/04/17,Mirage,L
879,17/04/17,Overpass,W
880,16/04/17,Cobblestone,W
881,16/04/17,Mirage,L
882,15/04/17,Mirage,W
883,15/04/17,Cache,W
884,14/04/17,Cache,W
885,14/04/17,Cobblestone,W
886,06/04/17,Mirage,L
887,05/04/17,Cobblestone,L
888,04/04/17,Mirage,L
889,30/03/17,Overpass,L
890,30/03/17,Train,L
891,30/03/17,Cobblestone,W
892,30/03/17,Train,W
893,30/03/17,Mirage,W
894,29/03/17,Cobblestone,W
895,29/03/17,Mirage,W
896,25/03/17,Cobblestone,W
897,25/03/17,Mirage,W
898,19/03/17,Cache,W
899,19/03/17,Mirage,W
900,18/03/17,Mirage,W
901,18/03/17,Cobblestone,L
902,18/03/17,Cache,W
903,17/03/17,Overpass,W
904,17/03/17,Mirage,W
905,17/03/17,Cobblestone,W
906,17/03/17,Inferno,W
907,02/03/17,Cobblestone,W
908,02/03/17,Overpass,W
909,02/03/17,Cache,L
910,02/03/17,Mirage,L
911,02/03/17,Cobblestone,W
912,01/03/17,Cache,W
913,01/03/17,Mirage,W
914,24/02/17,Cobblestone,W
915,23/02/17,Mirage,W
916,16/02/17,Cobblestone,L
917,15/02/17,Cobblestone,L
918,14/01/17,Dust2,L
919,14/01/17,Mirage,W
920,14/01/17,Cache,L
921,14/01/17,Overpass,W
922,14/01/17,Mirage,W
923,13/01/17,Dust2,W
924,13/01/17,Mirage,W
925,13/01/17,Cache,L
926,13/01/17,Mirage,L
927,12/01/17,Overpass,W
928,12/01/17,Cobblestone,L
929,12/01/17,Overpass,W
930,12/01/17,Cobblestone,W
931,12/01/17,Cache,L
932,12/01/17,Mirage,W
933,25/12/16,Dust2,W
934,25/12/16,Cobblestone,W
935,18/12/16,Dust2,L
936,17/12/16,Train,L
937,16/12/16,Mirage,W
938,15/12/16,Overpass,L
